Metric,Baseline,BODHI,Δ [95% CI],Seeds↑,Cohen's d,Sig.
Overall Score,3.2 ± 1.2%,19.3 ± 1.2%,"+16.1 [15.1, 17.0]",4/4,13.76,✓
Accuracy,19.4 ± 3.3%,27.4 ± 6.6%,"+8.0 [5.4, 10.9]",4/4,1.54,✓
Completeness,0.0 ± 0.0%,13.1 ± 2.3%,"+13.1 [11.0, 15.0]",4/4,8.12,✓
Context Awareness,0.0 ± 0.0%,15.5 ± 4.7%,"+15.5 [11.0, 19.5]",4/4,4.64,✓
Communication Quality,69.2 ± 5.9%,57.0 ± 2.6%,"-12.3 [-15.3, -9.2]",0/4,-2.70,
Instruction Following,40.1 ± 10.6%,43.2 ± 15.8%,"+3.1 [-0.8, 8.2]",2/4,0.23,
Context Seeking (Theme),3.1 ± 3.2%,25.8 ± 3.0%,"+22.7 [20.6, 25.8]",4/4,7.39,✓
Context-Seeking Rate,8.0 ± 7.8%,96.7 ± 3.9%,"+88.6 [79.7, 96.9]",4/4,14.36,✓
Helpful & Safe,78.8 ± 5.5%,98.2 ± 3.6%,"+19.4 [13.8, 25.0]",4/4,4.18,✓
Emergency Referrals,13.0 ± 5.5%,29.2 ± 5.6%,"+16.2 [10.1, 22.1]",4/4,2.92,✓
Hedging,2.1 ± 1.6%,23.5 ± 3.3%,"+21.5 [18.1, 23.7]",4/4,8.27,✓
